entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
133065,133140,long,2025-09-21 09:55:00+00:00,115635.3,115404.38,116097.14,-1.0,0.6009,-1.6009,SL
137705,137715,long,2025-10-07 12:35:00+00:00,124501.3,123995.88,125512.14,0.5,0.2956,0.2044,TP1+BE
139099,139112,short,2025-10-12 08:45:00+00:00,111407.8,111833.62,110556.16,-1.0,0.314,-1.314,SL
139159,139171,short,2025-10-12 13:45:00+00:00,111353.8,112379.27,109302.87,-1.0,0.1303,-1.1303,SL
140855,140864,short,2025-10-18 11:05:00+00:00,106714.6,107084.48,105974.85,-1.0,0.3462,-1.3462,SL
140920,140962,short,2025-10-18 16:30:00+00:00,106514.9,107222.22,105100.27,-1.0,0.1807,-1.1807,SL
142041,142045,long,2025-10-22 13:55:00+00:00,108734.5,107458.83,111285.83,-1.0,0.1023,-1.1023,SL
147774,147784,long,2025-11-11 11:40:00+00:00,105437.2,104827.07,106657.46,-1.0,0.2074,-1.2074,SL
148892,148955,short,2025-11-15 08:50:00+00:00,95715.3,96424.73,94296.44,-1.0,0.1619,-1.1619,SL
149210,149263,short,2025-11-16 11:20:00+00:00,95694.3,96302.71,94477.49,1.5,0.1887,1.3113,TP1+TP
151055,151075,short,2025-11-22 21:05:00+00:00,84308.4,84850.07,83225.07,-1.0,0.1868,-1.1868,SL
152960,153024,long,2025-11-29 11:50:00+00:00,90618.2,90235.47,91383.65,0.5,0.2841,0.2159,TP1+BE
153047,153265,long,2025-11-29 19:05:00+00:00,90735.0,90222.49,91760.03,1.5,0.2124,1.2876,TP1+TP
158787,159270,short,2025-12-19 17:25:00+00:00,87579.1,88904.82,84927.67,-1.0,0.0793,-1.0793,SL
176862,176901,short,2026-02-20 11:40:00+00:00,67425.4,68286.02,65704.16,0.5,0.094,0.406,TP1+BE
179481,179514,long,2026-03-01 13:55:00+00:00,66900.0,66003.13,68693.74,-1.0,0.0895,-1.0895,SL
182605,182641,long,2026-03-12 10:15:00+00:00,70000.0,69576.45,70847.09,0.5,0.1983,0.3017,TP1+BE
186480,186574,long,2026-03-25 21:10:00+00:00,71134.9,70529.4,72345.9,-1.0,0.141,-1.141,SL
187830,187844,short,2026-03-30 13:40:00+00:00,67666.9,68071.6,66857.49,0.5,0.2006,0.2994,TP1+BE
191305,191343,long,2026-04-11 15:15:00+00:00,72766.8,72495.33,73309.74,1.5,0.3217,1.1783,TP1+TP
194757,194788,long,2026-04-23 14:55:00+00:00,78143.3,77367.46,79694.99,-1.0,0.1209,-1.1209,SL
203603,203617,short,2026-05-24 08:05:00+00:00,76731.8,76937.16,76321.08,-1.0,0.4484,-1.4484,SL
