entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1585,1665,short,2024-06-21 21:15:00+00:00,63976.5,64313.65,63302.2,-1.0,0.2277,-1.2277,SL
3236,3360,short,2024-06-27 14:50:00+00:00,61719.4,62110.05,60938.1,0.5,0.1896,0.3104,TP1+BE
10647,10707,long,2024-07-23 08:25:00+00:00,66729.0,66163.77,67859.46,-1.0,0.1417,-1.1417,SL
20182,20305,long,2024-08-25 11:00:00+00:00,63950.1,63695.94,64458.42,1.5,0.3019,1.1981,TP1+TP
21944,21946,short,2024-08-31 13:50:00+00:00,59029.9,59191.73,58706.23,0.5,0.4377,0.0623,TP1+BE
24047,24109,short,2024-09-07 21:05:00+00:00,54042.3,54468.91,53189.07,-1.0,0.152,-1.152,SL
27710,27754,long,2024-09-20 14:20:00+00:00,63190.1,62503.43,64563.43,-1.0,0.1104,-1.1104,SL
28211,28222,long,2024-09-22 08:05:00+00:00,62963.0,62797.24,63294.52,-1.0,0.4558,-1.4558,SL
28252,28282,long,2024-09-22 11:30:00+00:00,62728.4,62462.47,63260.25,-1.0,0.2831,-1.2831,SL
29145,29186,long,2024-09-25 13:55:00+00:00,63741.6,63182.45,64859.89,-1.0,0.1368,-1.1368,SL
35422,35431,long,2024-10-17 09:00:00+00:00,67480.9,67247.19,67948.33,-1.0,0.3465,-1.3465,SL
35479,35482,long,2024-10-17 13:45:00+00:00,67240.0,66697.04,68325.93,-1.0,0.1486,-1.1486,SL
40070,40093,short,2024-11-02 12:20:00+00:00,69545.4,69763.69,69108.81,1.5,0.3823,1.1177,TP1+TP
46092,46136,long,2024-11-23 10:10:00+00:00,98614.7,98336.07,99171.97,0.5,0.4247,0.0753,TP1+BE
46218,46384,long,2024-11-23 20:40:00+00:00,97764.1,97121.18,99049.94,0.5,0.1825,0.3175,TP1+BE
52252,52267,long,2024-12-14 19:30:00+00:00,101317.9,100750.35,102453.0,-1.0,0.2142,-1.2142,SL
54748,54785,short,2024-12-23 11:30:00+00:00,95880.8,96596.5,94449.4,1.5,0.1608,1.3392,TP1+TP
64535,64653,long,2025-01-26 11:05:00+00:00,104736.7,104349.45,105511.21,0.5,0.3246,0.1754,TP1+BE
68395,68447,short,2025-02-08 20:45:00+00:00,96334.8,96679.48,95645.43,-1.0,0.3354,-1.3354,SL
71469,71487,short,2025-02-19 12:55:00+00:00,96157.2,96492.9,95485.81,-1.0,0.3437,-1.3437,SL
74875,74896,short,2025-03-03 08:45:00+00:00,91567.2,92303.91,90093.78,-1.0,0.1492,-1.1492,SL
85237,85276,short,2025-04-08 08:15:00+00:00,79103.6,79713.23,77884.33,-1.0,0.1557,-1.1557,SL
85310,85336,short,2025-04-08 14:20:00+00:00,79534.4,80430.35,77742.5,1.5,0.1065,1.3935,TP1+TP
87614,87653,long,2025-04-16 14:20:00+00:00,84382.5,83693.22,85761.05,0.5,0.1469,0.3531,TP1+BE
92489,92538,long,2025-05-03 12:35:00+00:00,96065.8,95733.07,96731.26,0.5,0.3465,0.1535,TP1+BE
103824,103828,long,2025-06-11 21:10:00+00:00,109169.6,108392.7,110723.4,-1.0,0.1686,-1.1686,SL
106858,106872,short,2025-06-22 10:00:00+00:00,102208.0,102640.34,101343.32,-1.0,0.2837,-1.2837,SL
106896,106898,short,2025-06-22 13:10:00+00:00,102228.2,102828.03,101028.55,1.5,0.2045,1.2955,TP1+TP
109234,109417,long,2025-06-30 16:00:00+00:00,107445.4,106570.32,109195.55,-1.0,0.1473,-1.1473,SL
109426,109441,long,2025-07-01 08:00:00+00:00,106975.2,106509.88,107905.83,-1.0,0.2759,-1.2759,SL
109499,109505,long,2025-07-01 14:05:00+00:00,106971.7,106138.76,108637.59,-1.0,0.1541,-1.1541,SL
124411,124451,short,2025-08-22 08:45:00+00:00,112930.1,113393.28,112003.74,1.5,0.2926,1.2074,TP1+TP
130794,130807,long,2025-09-13 12:40:00+00:00,115980.8,115691.89,116558.62,-1.0,0.4817,-1.4817,SL
131126,131209,long,2025-09-14 16:20:00+00:00,115381.0,115020.16,116102.67,0.5,0.3837,0.1163,TP1+BE
