entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
659,672,long,2021-07-14 23:00:00+00:00,32800.0,31562.41,35275.19,-1.0,0.0318,-1.0318,SL
1743,1827,short,2021-08-29 03:00:00+00:00,48262.5,49429.38,45928.74,0.5,0.0496,0.4504,TP1+BE
2953,2977,long,2021-10-18 13:00:00+00:00,61852.5,60390.55,64776.4,0.5,0.0508,0.4492,TP1+BE
3262,3282,short,2021-10-31 10:00:00+00:00,60880.5,62342.28,57956.94,-1.0,0.05,-1.05,SL
4783,4824,short,2022-01-02 19:00:00+00:00,46906.5,48048.0,44623.5,0.5,0.0493,0.4507,TP1+BE
5857,5882,short,2022-02-16 13:00:00+00:00,43637.5,44580.04,41752.43,1.5,0.0556,1.4444,TP1+TP
8888,8900,short,2022-06-22 20:00:00+00:00,19866.0,20692.67,18212.66,-1.0,0.0288,-1.0288,SL
9976,9988,short,2022-08-07 04:00:00+00:00,22937.0,23280.76,22249.49,-1.0,0.0801,-1.0801,SL
10994,11005,short,2022-09-18 14:00:00+00:00,19803.0,20085.06,19238.87,1.5,0.0842,1.4158,TP1+TP
12409,12519,short,2022-11-16 13:00:00+00:00,16495.0,17022.0,15440.99,0.5,0.0376,0.4624,TP1+BE
14233,14262,long,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
14780,14782,long,2023-02-23 08:00:00+00:00,24412.9,23763.01,25712.67,-1.0,0.0451,-1.0451,SL
15534,15553,long,2023-03-26 18:00:00+00:00,27796.6,27297.58,28794.65,-1.0,0.0668,-1.0668,SL
15629,15891,short,2023-03-30 17:00:00+00:00,27829.9,29017.89,25453.92,-1.0,0.0281,-1.0281,SL
16038,16043,long,2023-04-16 18:00:00+00:00,30495.9,30083.89,31319.93,-1.0,0.0888,-1.0888,SL
16418,16429,long,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,0.5,0.0732,0.4268,TP1+BE
16877,16889,short,2023-05-21 17:00:00+00:00,26866.2,27195.17,26208.26,0.5,0.098,0.402,TP1+BE
17274,17357,long,2023-06-07 06:00:00+00:00,26820.7,25343.63,29774.84,-1.0,0.0218,-1.0218,SL
17902,17934,long,2023-07-03 10:00:00+00:00,30634.6,30108.26,31687.28,0.5,0.0698,0.4302,TP1+BE
17970,17972,long,2023-07-06 06:00:00+00:00,30675.8,30284.49,31458.43,1.5,0.0941,1.4059,TP1+TP
18492,18602,short,2023-07-28 00:00:00+00:00,29259.2,29569.54,28638.52,1.5,0.1131,1.3869,TP1+TP
20144,20162,long,2023-10-04 20:00:00+00:00,27636.0,27283.69,28340.62,0.5,0.0941,0.4059,TP1+BE
22765,22773,short,2024-01-22 01:00:00+00:00,41375.5,41840.4,40445.7,1.5,0.1068,1.3932,TP1+TP
24207,24224,short,2024-03-22 03:00:00+00:00,66011.0,67812.74,62407.51,1.5,0.044,1.456,TP1+TP
25296,25511,short,2024-05-06 12:00:00+00:00,63577.1,65329.06,60073.17,0.5,0.0435,0.4565,TP1+BE
27722,27725,long,2024-08-15 14:00:00+00:00,59405.5,57729.81,62756.88,-1.0,0.0425,-1.0425,SL
30498,30512,short,2024-12-09 06:00:00+00:00,99087.2,101397.4,94466.81,1.5,0.0515,1.4485,TP1+TP
31352,31364,short,2025-01-13 20:00:00+00:00,93545.1,96050.75,88533.79,-1.0,0.0448,-1.0448,SL
32293,32363,short,2025-02-22 01:00:00+00:00,96280.2,99006.71,90827.18,1.5,0.0424,1.4576,TP1+TP
32932,33011,short,2025-03-20 16:00:00+00:00,83764.5,86574.49,78144.52,-1.0,0.0358,-1.0358,SL
33257,33416,short,2025-04-03 05:00:00+00:00,83305.3,88648.66,72618.58,0.5,0.0187,0.4813,TP1+BE
35131,35137,long,2025-06-20 07:00:00+00:00,105769.9,104310.29,108689.13,-1.0,0.087,-1.087,SL
35521,35549,long,2025-07-06 13:00:00+00:00,108731.5,107659.33,110875.83,-1.0,0.1217,-1.1217,SL
36414,36432,long,2025-08-12 18:00:00+00:00,119294.2,118031.85,121818.9,1.5,0.1134,1.3866,TP1+TP
37033,37069,long,2025-09-07 13:00:00+00:00,111174.7,110283.01,112958.09,0.5,0.1496,0.3504,TP1+BE
37775,37801,long,2025-10-08 11:00:00+00:00,122842.1,121036.44,126453.42,-1.0,0.0816,-1.0816,SL
38113,38120,long,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
38283,38285,short,2025-10-29 15:00:00+00:00,111453.8,113711.6,106938.2,0.5,0.0592,0.4408,TP1+BE
38288,38298,short,2025-10-29 20:00:00+00:00,111382.3,113711.6,106723.7,0.5,0.0574,0.4426,TP1+BE
38390,38403,short,2025-11-03 02:00:00+00:00,108982.0,110832.02,105281.96,1.5,0.0707,1.4293,TP1+TP
39768,39774,long,2025-12-30 12:00:00+00:00,87995.6,86837.28,90312.25,0.5,0.0912,0.4088,TP1+BE
39777,39875,long,2025-12-30 21:00:00+00:00,88244.0,86837.28,91057.45,1.5,0.0753,1.4247,TP1+TP
40910,41013,short,2026-02-16 02:00:00+00:00,68293.7,70570.5,63740.1,0.5,0.036,0.464,TP1+BE
42265,42273,long,2026-04-13 13:00:00+00:00,71618.1,70379.55,74095.2,1.5,0.0694,1.4306,TP1+TP
42569,42584,long,2026-04-26 05:00:00+00:00,77945.0,77186.04,79462.93,0.5,0.1232,0.3768,TP1+BE
42878,42919,long,2026-05-09 02:00:00+00:00,80379.6,79423.1,82292.61,0.5,0.1008,0.3992,TP1+BE
43250,43258,short,2026-05-24 14:00:00+00:00,76426.9,77167.09,74946.52,-1.0,0.1239,-1.1239,SL
43422,43439,short,2026-05-31 18:00:00+00:00,73573.3,74320.35,72079.21,1.5,0.1182,1.3818,TP1+TP
