entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1585,1665,short,2024-06-21 21:15:00+00:00,63976.5,64313.65,63302.2,-1.0,0.2277,-1.2277,SL
3236,3362,short,2024-06-27 14:50:00+00:00,61719.4,62110.05,60938.1,-1.0,0.1896,-1.1896,SL
10647,10707,long,2024-07-23 08:25:00+00:00,66729.0,66163.77,67859.46,-1.0,0.1417,-1.1417,SL
20111,20135,long,2024-08-25 05:05:00+00:00,64148.8,63899.84,64646.73,-1.0,0.3092,-1.3092,SL
20182,20305,long,2024-08-25 11:00:00+00:00,63950.1,63695.94,64458.42,2.0,0.3019,1.6981,TP
20387,20419,long,2024-08-26 04:05:00+00:00,64139.9,63665.67,65088.36,-1.0,0.1623,-1.1623,SL
21944,21991,short,2024-08-31 13:50:00+00:00,59029.9,59191.73,58706.23,2.0,0.4377,1.5623,TP
24047,24109,short,2024-09-07 21:05:00+00:00,54042.3,54468.91,53189.07,-1.0,0.152,-1.152,SL
27710,27754,long,2024-09-20 14:20:00+00:00,63190.1,62503.43,64563.43,-1.0,0.1104,-1.1104,SL
28211,28222,long,2024-09-22 08:05:00+00:00,62963.0,62797.24,63294.52,-1.0,0.4558,-1.4558,SL
28252,28282,long,2024-09-22 11:30:00+00:00,62728.4,62462.47,63260.25,-1.0,0.2831,-1.2831,SL
29145,29186,long,2024-09-25 13:55:00+00:00,63741.6,63182.45,64859.89,-1.0,0.1368,-1.1368,SL
35422,35431,long,2024-10-17 09:00:00+00:00,67480.9,67247.19,67948.33,-1.0,0.3465,-1.3465,SL
35479,35482,long,2024-10-17 13:45:00+00:00,67240.0,66697.04,68325.93,-1.0,0.1486,-1.1486,SL
40070,40093,short,2024-11-02 12:20:00+00:00,69545.4,69763.69,69108.81,2.0,0.3823,1.6177,TP
45151,45211,long,2024-11-20 03:45:00+00:00,92124.9,91493.81,93387.07,2.0,0.1752,1.8248,TP
46092,46163,long,2024-11-23 10:10:00+00:00,98614.7,98336.07,99171.97,-1.0,0.4247,-1.4247,SL
46218,46406,long,2024-11-23 20:40:00+00:00,97764.1,97121.18,99049.94,-1.0,0.1825,-1.1825,SL
52252,52267,long,2024-12-14 19:30:00+00:00,101317.9,100750.35,102453.0,-1.0,0.2142,-1.2142,SL
54748,54785,short,2024-12-23 11:30:00+00:00,95880.8,96596.5,94449.4,2.0,0.1608,1.8392,TP
64379,64400,long,2025-01-25 22:05:00+00:00,105198.8,104704.59,106187.22,-1.0,0.2554,-1.2554,SL
64535,64667,long,2025-01-26 11:05:00+00:00,104736.7,104349.45,105511.21,-1.0,0.3246,-1.3246,SL
68395,68447,short,2025-02-08 20:45:00+00:00,96334.8,96679.48,95645.43,-1.0,0.3354,-1.3354,SL
71469,71487,short,2025-02-19 12:55:00+00:00,96157.2,96492.9,95485.81,-1.0,0.3437,-1.3437,SL
74846,74850,short,2025-03-03 06:20:00+00:00,92770.2,93217.82,91874.95,2.0,0.2487,1.7513,TP
74852,74914,short,2025-03-03 06:50:00+00:00,91478.8,93217.82,88000.75,-1.0,0.0631,-1.0631,SL
77735,77799,short,2025-03-13 07:05:00+00:00,83132.0,83583.5,82229.0,-1.0,0.2209,-1.2209,SL
84583,84657,short,2025-04-06 01:45:00+00:00,83385.8,83627.74,82901.91,2.0,0.4136,1.5864,TP
85237,85276,short,2025-04-08 08:15:00+00:00,79103.6,79713.23,77884.33,-1.0,0.1557,-1.1557,SL
85310,85336,short,2025-04-08 14:20:00+00:00,79534.4,80430.35,77742.5,2.0,0.1065,1.8935,TP
87169,87216,long,2025-04-15 01:15:00+00:00,84704.7,84226.39,85661.32,2.0,0.2125,1.7875,TP
87614,87655,long,2025-04-16 14:20:00+00:00,84382.5,83693.22,85761.05,-1.0,0.1469,-1.1469,SL
91472,91637,long,2025-04-29 23:50:00+00:00,94246.6,93740.57,95258.67,-1.0,0.2235,-1.2235,SL
92489,92620,long,2025-05-03 12:35:00+00:00,96065.8,95733.07,96731.26,-1.0,0.3465,-1.3465,SL
99549,99560,long,2025-05-28 00:55:00+00:00,109131.9,108551.54,110292.62,-1.0,0.2257,-1.2257,SL
103824,103828,long,2025-06-11 21:10:00+00:00,109169.6,108392.7,110723.4,-1.0,0.1686,-1.1686,SL
103862,103863,long,2025-06-12 00:20:00+00:00,108700.1,108407.18,109285.93,-1.0,0.4453,-1.4453,SL
