entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1585,1665,short,2024-06-21 21:15:00+00:00,63976.5,64313.65,63302.2,-1.0,0.2277,-1.2277,SL
3236,3360,short,2024-06-27 14:50:00+00:00,61719.4,62110.05,60938.1,0.5,0.1896,0.3104,TP1+BE
10647,10707,long,2024-07-23 08:25:00+00:00,66729.0,66163.77,67859.46,-1.0,0.1417,-1.1417,SL
20111,20135,long,2024-08-25 05:05:00+00:00,64148.8,63899.84,64646.73,-1.0,0.3092,-1.3092,SL
20182,20305,long,2024-08-25 11:00:00+00:00,63950.1,63695.94,64458.42,1.5,0.3019,1.1981,TP1+TP
20387,20419,long,2024-08-26 04:05:00+00:00,64139.9,63665.67,65088.36,-1.0,0.1623,-1.1623,SL
21944,21946,short,2024-08-31 13:50:00+00:00,59029.9,59191.73,58706.23,0.5,0.4377,0.0623,TP1+BE
24047,24109,short,2024-09-07 21:05:00+00:00,54042.3,54468.91,53189.07,-1.0,0.152,-1.152,SL
27710,27754,long,2024-09-20 14:20:00+00:00,63190.1,62503.43,64563.43,-1.0,0.1104,-1.1104,SL
28211,28222,long,2024-09-22 08:05:00+00:00,62963.0,62797.24,63294.52,-1.0,0.4558,-1.4558,SL
28252,28282,long,2024-09-22 11:30:00+00:00,62728.4,62462.47,63260.25,-1.0,0.2831,-1.2831,SL
29145,29186,long,2024-09-25 13:55:00+00:00,63741.6,63182.45,64859.89,-1.0,0.1368,-1.1368,SL
35422,35431,long,2024-10-17 09:00:00+00:00,67480.9,67247.19,67948.33,-1.0,0.3465,-1.3465,SL
35479,35482,long,2024-10-17 13:45:00+00:00,67240.0,66697.04,68325.93,-1.0,0.1486,-1.1486,SL
40070,40093,short,2024-11-02 12:20:00+00:00,69545.4,69763.69,69108.81,1.5,0.3823,1.1177,TP1+TP
45151,45211,long,2024-11-20 03:45:00+00:00,92124.9,91493.81,93387.07,1.5,0.1752,1.3248,TP1+TP
46092,46136,long,2024-11-23 10:10:00+00:00,98614.7,98336.07,99171.97,0.5,0.4247,0.0753,TP1+BE
46218,46384,long,2024-11-23 20:40:00+00:00,97764.1,97121.18,99049.94,0.5,0.1825,0.3175,TP1+BE
52252,52267,long,2024-12-14 19:30:00+00:00,101317.9,100750.35,102453.0,-1.0,0.2142,-1.2142,SL
54748,54785,short,2024-12-23 11:30:00+00:00,95880.8,96596.5,94449.4,1.5,0.1608,1.3392,TP1+TP
64379,64400,long,2025-01-25 22:05:00+00:00,105198.8,104704.59,106187.22,-1.0,0.2554,-1.2554,SL
64535,64653,long,2025-01-26 11:05:00+00:00,104736.7,104349.45,105511.21,0.5,0.3246,0.1754,TP1+BE
68395,68447,short,2025-02-08 20:45:00+00:00,96334.8,96679.48,95645.43,-1.0,0.3354,-1.3354,SL
71469,71487,short,2025-02-19 12:55:00+00:00,96157.2,96492.9,95485.81,-1.0,0.3437,-1.3437,SL
74846,74850,short,2025-03-03 06:20:00+00:00,92770.2,93217.82,91874.95,1.5,0.2487,1.2513,TP1+TP
74852,74914,short,2025-03-03 06:50:00+00:00,91478.8,93217.82,88000.75,-1.0,0.0631,-1.0631,SL
77735,77757,short,2025-03-13 07:05:00+00:00,83132.0,83583.5,82229.0,0.5,0.2209,0.2791,TP1+BE
84583,84613,short,2025-04-06 01:45:00+00:00,83385.8,83627.74,82901.91,0.5,0.4136,0.0864,TP1+BE
84641,84726,short,2025-04-06 06:35:00+00:00,83177.9,83583.3,82367.1,1.5,0.2462,1.2538,TP1+TP
85237,85276,short,2025-04-08 08:15:00+00:00,79103.6,79713.23,77884.33,-1.0,0.1557,-1.1557,SL
85310,85336,short,2025-04-08 14:20:00+00:00,79534.4,80430.35,77742.5,1.5,0.1065,1.3935,TP1+TP
87169,87216,long,2025-04-15 01:15:00+00:00,84704.7,84226.39,85661.32,1.5,0.2125,1.2875,TP1+TP
87614,87653,long,2025-04-16 14:20:00+00:00,84382.5,83693.22,85761.05,0.5,0.1469,0.3531,TP1+BE
91472,91631,long,2025-04-29 23:50:00+00:00,94246.6,93740.57,95258.67,0.5,0.2235,0.2765,TP1+BE
