entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1586,1665,short,2024-06-21 21:15:00+00:00,63900.0,64313.65,63072.7,-1.0,0.1854,-1.1854,SL
3242,3362,short,2024-06-27 14:50:00+00:00,61681.6,62110.05,60824.7,-1.0,0.1728,-1.1728,SL
10648,10707,long,2024-07-23 08:25:00+00:00,66891.5,66163.77,68346.96,-1.0,0.1103,-1.1103,SL
20187,20249,long,2024-08-25 11:00:00+00:00,63969.7,63695.94,64517.22,0.5,0.2804,0.2196,TP1+BE
21945,22094,short,2024-08-31 13:50:00+00:00,58928.2,59191.73,58401.13,1.5,0.2683,1.2317,TP1+TP
24048,24109,short,2024-09-07 21:05:00+00:00,53961.8,54468.91,52947.57,-1.0,0.1277,-1.1277,SL
27712,27754,long,2024-09-20 14:20:00+00:00,63392.0,62503.43,65169.13,-1.0,0.0856,-1.0856,SL
28221,28222,long,2024-09-22 08:05:00+00:00,62989.9,62797.24,63375.22,-1.0,0.3923,-1.3923,SL
28253,28282,long,2024-09-22 11:30:00+00:00,62801.7,62462.47,63480.15,-1.0,0.2222,-1.2222,SL
29147,29186,long,2024-09-25 13:55:00+00:00,63819.5,63182.45,65093.59,-1.0,0.1202,-1.1202,SL
40071,40099,short,2024-11-02 12:20:00+00:00,69510.7,69763.69,69004.71,1.5,0.3297,1.1703,TP1+TP
46223,46380,long,2024-11-23 20:40:00+00:00,97866.2,97121.18,99356.24,0.5,0.1576,0.3424,TP1+BE
52257,52267,long,2024-12-14 19:45:00+00:00,101339.5,100750.35,102517.8,-1.0,0.2064,-1.2064,SL
54749,54785,short,2024-12-23 11:30:00+00:00,95852.7,96596.5,94365.1,1.5,0.1546,1.3454,TP1+TP
64537,64653,long,2025-01-26 11:05:00+00:00,104791.7,104349.45,105676.21,0.5,0.2843,0.2157,TP1+BE
71482,71487,short,2025-02-19 12:55:00+00:00,96089.0,96492.9,95281.21,-1.0,0.2855,-1.2855,SL
74876,74896,short,2025-03-03 08:45:00+00:00,91250.0,92303.91,89142.18,-1.0,0.1039,-1.1039,SL
85238,85276,short,2025-04-08 08:15:00+00:00,78980.1,79713.23,77513.83,-1.0,0.1293,-1.1293,SL
85311,85337,short,2025-04-08 14:20:00+00:00,79413.3,80430.35,77379.2,1.5,0.0937,1.4063,TP1+TP
87618,87655,long,2025-04-16 14:20:00+00:00,84634.6,83693.22,86517.35,-1.0,0.1079,-1.1079,SL
92490,92536,long,2025-05-03 12:35:00+00:00,96082.6,95733.07,96781.66,0.5,0.3299,0.1701,TP1+BE
106897,106908,short,2025-06-22 13:10:00+00:00,101886.8,102828.03,100004.35,1.5,0.1299,1.3701,TP1+TP
109235,109417,long,2025-06-30 16:00:00+00:00,107634.2,106570.32,109761.95,-1.0,0.1214,-1.1214,SL
109500,109505,long,2025-07-01 14:05:00+00:00,107066.8,106138.76,108922.89,-1.0,0.1384,-1.1384,SL
124414,124455,short,2025-08-22 08:45:00+00:00,112869.6,113393.28,111822.24,1.5,0.2586,1.2414,TP1+TP
131127,131209,long,2025-09-14 16:20:00+00:00,115455.0,115020.16,116324.67,0.5,0.3186,0.1814,TP1+BE
133085,133140,long,2025-09-21 10:10:00+00:00,115647.1,115404.38,116132.54,-1.0,0.5718,-1.5718,SL
137706,137715,long,2025-10-07 12:35:00+00:00,124534.7,123995.88,125612.34,0.5,0.2773,0.2227,TP1+BE
139100,139112,short,2025-10-12 08:45:00+00:00,111405.6,111833.62,110549.56,-1.0,0.3123,-1.3123,SL
139161,139171,short,2025-10-12 13:45:00+00:00,111248.9,112379.27,108988.17,-1.0,0.1181,-1.1181,SL
140927,140962,short,2025-10-18 16:55:00+00:00,106594.3,107222.22,105338.47,-1.0,0.2037,-1.2037,SL
148906,148955,short,2025-11-15 09:45:00+00:00,95681.8,96424.73,94195.94,-1.0,0.1545,-1.1545,SL
149211,149270,short,2025-11-16 11:20:00+00:00,95560.0,96302.71,94074.59,1.5,0.1544,1.3456,TP1+TP
151056,151075,short,2025-11-22 21:05:00+00:00,84250.9,84850.07,83052.57,-1.0,0.1687,-1.1687,SL
152962,153024,long,2025-11-29 11:50:00+00:00,90651.7,90235.47,91484.15,0.5,0.2614,0.2386,TP1+BE
153050,153265,long,2025-11-29 19:05:00+00:00,90765.8,90222.49,91852.43,1.5,0.2005,1.2995,TP1+TP
158788,159270,short,2025-12-19 17:25:00+00:00,86982.8,88904.82,83138.77,-1.0,0.0543,-1.0543,SL
176865,177123,short,2026-02-20 11:40:00+00:00,67299.9,68286.02,65327.66,-1.0,0.0819,-1.0819,SL
179496,179514,long,2026-03-01 14:20:00+00:00,67085.2,66003.13,69249.34,-1.0,0.0744,-1.0744,SL
182606,182641,long,2026-03-12 10:15:00+00:00,70082.1,69576.45,71093.39,0.5,0.1663,0.3337,TP1+BE
186496,186574,long,2026-03-25 21:10:00+00:00,71186.1,70529.4,72499.5,-1.0,0.1301,-1.1301,SL
187831,187843,short,2026-03-30 13:40:00+00:00,67577.9,68071.6,66590.49,0.5,0.1643,0.3357,TP1+BE
191317,191344,long,2026-04-11 15:15:00+00:00,72881.0,72495.33,73652.34,1.5,0.2268,1.2732,TP1+TP
194761,194788,long,2026-04-23 14:55:00+00:00,78365.8,77367.46,80362.49,-1.0,0.0942,-1.0942,SL
