entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
659,672,long,2021-07-14 23:00:00+00:00,32800.0,31562.41,35275.19,-1.0,0.0318,-1.0318,SL
1745,1827,short,2021-08-29 05:00:00+00:00,48348.5,49429.38,46186.74,0.5,0.0537,0.4463,TP1+BE
3262,3282,short,2021-10-31 10:00:00+00:00,60880.5,62342.28,57956.94,-1.0,0.05,-1.05,SL
5857,5882,short,2022-02-16 13:00:00+00:00,43637.5,44580.04,41752.43,1.5,0.0556,1.4444,TP1+TP
8888,8900,short,2022-06-22 20:00:00+00:00,19866.0,20692.67,18212.66,-1.0,0.0288,-1.0288,SL
14233,14262,long,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
14781,14782,long,2023-02-23 09:00:00+00:00,24288.9,23763.01,25340.67,-1.0,0.0554,-1.0554,SL
15629,15891,short,2023-03-30 17:00:00+00:00,27829.9,29017.89,25453.92,-1.0,0.0281,-1.0281,SL
16418,16429,long,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,0.5,0.0732,0.4268,TP1+BE
17274,17357,long,2023-06-07 06:00:00+00:00,26820.7,25343.63,29774.84,-1.0,0.0218,-1.0218,SL
24207,24224,short,2024-03-22 03:00:00+00:00,66011.0,67812.74,62407.51,1.5,0.044,1.456,TP1+TP
25296,25511,short,2024-05-06 12:00:00+00:00,63577.1,65329.06,60073.17,0.5,0.0435,0.4565,TP1+BE
30498,30512,short,2024-12-09 06:00:00+00:00,99087.2,101397.4,94466.81,1.5,0.0515,1.4485,TP1+TP
32293,32363,short,2025-02-22 01:00:00+00:00,96280.2,99006.71,90827.18,1.5,0.0424,1.4576,TP1+TP
32932,33011,short,2025-03-20 16:00:00+00:00,83764.5,86574.49,78144.52,-1.0,0.0358,-1.0358,SL
33257,33416,short,2025-04-03 05:00:00+00:00,83305.3,88648.66,72618.58,0.5,0.0187,0.4813,TP1+BE
38113,38120,long,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
40910,41013,short,2026-02-16 02:00:00+00:00,68293.7,70570.5,63740.1,0.5,0.036,0.464,TP1+BE
