entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1585,1665,short,2024-06-21 21:15:00+00:00,63976.5,64313.65,61279.3,-1.0,0.2277,-1.2277,SL
3236,3362,short,2024-06-27 14:50:00+00:00,61719.4,62110.05,58594.22,-1.0,0.1896,-1.1896,SL
3748,3771,short,2024-06-29 09:30:00+00:00,60870.1,61030.67,59585.54,-1.0,0.4549,-1.4549,SL
3929,3949,long,2024-06-30 00:35:00+00:00,61019.5,60823.92,62584.18,-1.0,0.3744,-1.3744,SL
5090,5177,short,2024-07-04 01:20:00+00:00,60193.3,60525.06,57539.18,8.0,0.2177,7.7823,TP
5702,5734,short,2024-07-06 04:20:00+00:00,56235.7,56556.5,53669.3,-1.0,0.2104,-1.2104,SL
5760,5767,short,2024-07-06 09:10:00+00:00,56475.0,56687.73,54773.15,-1.0,0.3186,-1.3186,SL
7066,7128,long,2024-07-10 22:00:00+00:00,57539.2,57266.18,59723.39,-1.0,0.2529,-1.2529,SL
10647,10707,long,2024-07-23 08:25:00+00:00,66729.0,66163.77,71250.84,-1.0,0.1417,-1.1417,SL
15112,15133,long,2024-08-07 20:30:00+00:00,55140.7,54596.05,59497.91,-1.0,0.1215,-1.1215,SL
20111,20135,long,2024-08-25 05:05:00+00:00,64148.8,63899.84,66140.51,-1.0,0.3092,-1.3092,SL
20182,20419,long,2024-08-25 11:00:00+00:00,63950.1,63695.94,65983.38,-1.0,0.3019,-1.3019,SL
21570,21655,long,2024-08-30 06:40:00+00:00,59255.8,58927.11,61885.29,-1.0,0.2163,-1.2163,SL
21658,21660,long,2024-08-30 14:00:00+00:00,59740.1,59219.42,63905.53,-1.0,0.1377,-1.1377,SL
21944,22132,short,2024-08-31 13:50:00+00:00,59029.9,59191.73,57735.24,8.0,0.4377,7.5623,TP
24047,24109,short,2024-09-07 21:05:00+00:00,54042.3,54468.91,50629.38,-1.0,0.152,-1.152,SL
24844,24849,long,2024-09-10 15:30:00+00:00,57008.4,56543.4,60728.4,-1.0,0.1471,-1.1471,SL
26208,26257,short,2024-09-15 09:10:00+00:00,60031.2,60236.98,58384.99,-1.0,0.3501,-1.3501,SL
27710,27754,long,2024-09-20 14:20:00+00:00,63190.1,62503.43,68683.43,-1.0,0.1104,-1.1104,SL
