entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1393,1472,2024-08-12 11:00:00+00:00,59812.4,57497.44,64442.31,-1.0,0.031,-1.031,SL
1622,1666,2024-08-22 00:00:00+00:00,60796.6,58746.19,64897.41,2.0,0.0356,1.9644,TP
2178,2238,2024-09-14 04:00:00+00:00,60184.3,57521.42,65510.06,-1.0,0.0271,-1.0271,SL
2365,2374,2024-09-21 23:00:00+00:00,63311.5,62650.09,64634.33,-1.0,0.1149,-1.1149,SL
2482,2580,2024-09-26 20:00:00+00:00,64620.3,62837.1,68186.7,-1.0,0.0435,-1.0435,SL
4679,4684,2024-12-27 09:00:00+00:00,96732.9,94959.65,100279.41,-1.0,0.0655,-1.0655,SL
4819,4923,2025-01-02 05:00:00+00:00,95556.6,93257.85,100154.1,2.0,0.0499,1.9501,TP
6312,6418,2025-03-05 10:00:00+00:00,89882.7,81941.28,105765.55,-1.0,0.0136,-1.0136,SL
6747,6767,2025-03-23 13:00:00+00:00,85030.0,83717.3,87655.4,2.0,0.0777,1.9223,TP
8123,8176,2025-05-19 21:00:00+00:00,105392.5,102172.53,111832.45,2.0,0.0393,1.9607,TP
8877,8883,2025-06-20 07:00:00+00:00,105769.9,104310.29,108689.13,-1.0,0.087,-1.087,SL
9167,9366,2025-07-02 09:00:00+00:00,107594.0,104953.54,112874.92,2.0,0.0489,1.9511,TP
10156,10179,2025-08-12 14:00:00+00:00,119390.0,118031.85,122106.3,2.0,0.1055,1.8945,TP
10773,10797,2025-09-07 07:00:00+00:00,110715.8,110283.01,111581.39,2.0,0.307,1.693,TP
10799,10883,2025-09-08 09:00:00+00:00,112045.0,110538.15,115058.7,2.0,0.0892,1.9108,TP
11447,11479,2025-10-05 09:00:00+00:00,122973.8,121418.66,126084.08,2.0,0.0949,1.9051,TP
11519,11547,2025-10-08 09:00:00+00:00,122500.0,121036.44,125427.12,-1.0,0.1004,-1.1004,SL
11859,11866,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
12328,12331,2025-11-11 02:00:00+00:00,106596.9,105025.27,109740.16,-1.0,0.0814,-1.0814,SL
12966,13013,2025-12-07 16:00:00+00:00,89860.5,88029.38,93522.73,2.0,0.0589,1.9411,TP
13514,13589,2025-12-30 12:00:00+00:00,87995.6,86837.28,90312.25,2.0,0.0912,1.9088,TP
14967,15329,2026-03-01 01:00:00+00:00,67313.5,63805.13,74330.24,2.0,0.023,1.977,TP
16011,16019,2026-04-13 13:00:00+00:00,71618.1,70379.55,74095.2,2.0,0.0694,1.9306,TP
16315,16348,2026-04-26 05:00:00+00:00,77945.0,77186.04,79462.93,-1.0,0.1232,-1.1232,SL
16624,16668,2026-05-09 02:00:00+00:00,80379.6,79423.1,82292.61,2.0,0.1008,1.8992,TP
16685,16708,2026-05-11 15:00:00+00:00,81403.8,80329.59,83552.22,-1.0,0.0909,-1.0909,SL
