entry_bar,exit_bar,side,setup,ts,entry,sl,tp1,tp,first_close_r,tp_full_r,gross_r,fee_r,net_r,reason
212,212,long,trend,2021-06-26 08:00:00+00:00,31656.5,31134.75,33743.5,33239.0,4.0,3.0331,-1.0,0.0728,-1.0728,SL
284,284,short,trend,2021-06-29 08:00:00+00:00,34820.0,35110.0,33660.0,33937.0,4.0,3.0448,-1.0,0.1441,-1.1441,SL
428,428,long,trend,2021-07-05 08:00:00+00:00,34676.5,34368.25,35909.5,35179.67,4.0,1.6323,-1.0,0.135,-1.135,SL
524,524,short,trend,2021-07-09 08:00:00+00:00,32774.0,33020.75,31787.0,32316.67,4.0,1.8534,-1.0,0.1594,-1.1594,SL
550,555,short,trend,2021-07-10 08:00:00+00:00,33854.25,34042.38,33101.75,33321.67,4.0,2.831,-1.0,0.2159,-1.2159,SL
572,572,short,trend,2021-07-11 08:00:00+00:00,33562.0,33673.5,33116.0,33321.67,4.0,2.1555,-1.0,0.3612,-1.3612,SL
622,623,long,trend,2021-07-13 08:00:00+00:00,33039.0,32905.5,33573.0,33248.5,4.0,1.5693,-1.0,0.297,-1.297,SL
644,644,long,trend,2021-07-14 08:00:00+00:00,32225.5,31939.75,33368.5,33264.38,4.0,3.6356,-1.0,0.1353,-1.1353,SL
696,696,short,trend,2021-07-16 08:00:00+00:00,31791.5,31909.75,31318.5,31170.0,4.0,5.2558,-1.0,0.3226,-1.3226,SL
716,716,short,trend,2021-07-17 08:00:00+00:00,31392.25,31502.62,30950.75,31170.5,4.0,2.0091,-1.0,0.3413,-1.3413,SL
788,788,long,trend,2021-07-20 08:00:00+00:00,30257.5,29870.25,31806.5,31883.83,4.0,4.1997,-1.0,0.0938,-1.0938,SL
909,912,long,trend,2021-07-25 08:00:00+00:00,34282.0,34055.5,35188.0,35013.62,4.0,3.2301,-1.0,0.1816,-1.1816,SL
943,1147,long,trend,2021-07-26 08:00:00+00:00,37563.5,36369.0,42341.5,43536.0,4.0,5.0,3.0,0.0377,2.9623,TP1+BE
1292,1293,long,trend,2021-08-10 08:00:00+00:00,46034.5,45683.0,47440.5,47792.0,4.0,5.0,-1.0,0.1572,-1.1572,SL
1317,1329,long,trend,2021-08-11 08:00:00+00:00,45889.5,45618.75,46972.5,47243.25,4.0,5.0,-1.0,0.2034,-1.2034,SL
1340,1340,long,trend,2021-08-12 08:00:00+00:00,45538.0,45197.0,46902.0,46733.0,4.0,3.5044,-1.0,0.1603,-1.1603,SL
1388,1388,short,trend,2021-08-14 08:00:00+00:00,47614.0,47707.0,47242.0,41138.25,4.0,69.6317,-1.0,0.6144,-1.6144,SL
1465,1467,long,trend,2021-08-17 08:00:00+00:00,45940.0,45595.0,47320.0,46530.5,4.0,1.7116,-1.0,0.1598,-1.1598,SL
1486,1495,long,trend,2021-08-18 08:00:00+00:00,44895.0,44597.5,46085.0,46530.5,4.0,5.4975,-1.0,0.1811,-1.1811,SL
1532,1532,short,trend,2021-08-20 08:00:00+00:00,47029.25,47224.62,46247.75,44674.0,4.0,12.055,-1.0,0.2889,-1.2889,SL
1557,1557,short,trend,2021-08-21 08:00:00+00:00,48944.5,49142.75,48151.5,44674.0,4.0,21.541,-1.0,0.2963,-1.2963,SL
1580,1580,short,trend,2021-08-22 08:00:00+00:00,48931.75,49090.88,48295.25,48580.75,4.0,2.2058,-1.0,0.369,-1.369,SL
1629,1632,long,trend,2021-08-24 08:00:00+00:00,49327.75,49071.62,50352.25,49773.75,4.0,1.7413,-1.0,0.2311,-1.2311,SL
