entry_bar,exit_bar,side,setup,ts,entry,sl,tp1,tp,first_close_r,tp_full_r,gross_r,fee_r,net_r,reason
1652,1652,long,trend,2021-08-25 08:00:00+00:00,48170.25,47951.38,49045.75,49461.5,4.0,5.8995,-1.0,0.2641,-1.2641,SL
1676,1676,long,trend,2021-08-26 08:00:00+00:00,47975.25,47293.62,50701.75,49461.5,4.0,2.1805,-1.0,0.0845,-1.0845,SL
1724,1731,short,trend,2021-08-28 08:00:00+00:00,48963.75,49119.62,48340.25,48580.75,4.0,2.4571,-1.0,0.3769,-1.3769,SL
1755,1761,short,trend,2021-08-29 08:00:00+00:00,48750.0,49230.25,46829.0,46342.83,4.0,5.0123,-1.0,0.1218,-1.1218,SL
1772,1772,long,trend,2021-08-30 08:00:00+00:00,48265.25,47966.88,49458.75,49227.75,4.0,3.2258,-1.0,0.1941,-1.1941,SL
1797,1807,long,trend,2021-08-31 08:00:00+00:00,47280.5,46980.25,48481.5,48310.75,4.0,3.4313,-1.0,0.189,-1.189,SL
1893,1893,long,trend,2021-09-04 08:00:00+00:00,50050.0,49850.0,50850.0,50376.17,4.0,1.6308,-1.0,0.3003,-1.3003,SL
1918,1926,long,trend,2021-09-05 08:00:00+00:00,49915.5,49732.75,50646.5,50290.5,4.0,2.052,3.513,0.3278,3.1852,TP1+TP
1940,1942,long,trend,2021-09-06 08:00:00+00:00,51689.0,51533.0,52313.0,52469.0,4.0,5.0,-1.0,0.3976,-1.3976,SL
1964,1964,long,trend,2021-09-07 08:00:00+00:00,52479.0,52289.5,53237.0,53426.5,4.0,5.0,-1.0,0.3323,-1.3323,SL
1988,2019,long,sweep,2021-09-08 08:00:00+00:00,45972.5,45391.25,47330.0,47387.5,2.3355,2.4344,2.3602,0.0949,2.2653,TP1+TP
2060,2060,short,trend,2021-09-11 08:00:00+00:00,45127.5,45313.25,44384.5,44686.5,4.0,2.3742,-1.0,0.2915,-1.2915,SL
2156,2156,short,trend,2021-09-15 08:00:00+00:00,47049.5,47224.75,46348.5,46705.0,4.0,1.9658,-1.0,0.3222,-1.3222,SL
2180,2180,short,trend,2021-09-16 08:00:00+00:00,47893.0,48164.0,46809.0,47413.0,4.0,1.7712,-1.0,0.2121,-1.2121,SL
2254,2254,long,trend,2021-09-19 08:00:00+00:00,47975.25,47792.62,48705.75,48269.12,4.0,1.6092,-1.0,0.3152,-1.3152,SL
2276,2276,long,trend,2021-09-20 08:00:00+00:00,45837.5,45085.25,48846.5,47394.12,4.0,2.0693,-1.0,0.0731,-1.0731,SL
2308,2311,long,trend,2021-09-21 08:00:00+00:00,41675.75,40854.62,44960.25,44614.0,4.0,3.5783,-1.0,0.0609,-1.0609,SL
2516,2516,short,trend,2021-09-30 08:00:00+00:00,42600.0,43197.0,40212.0,41128.83,4.0,2.4643,-1.0,0.0856,-1.0856,SL
2540,2540,short,trend,2021-10-01 08:00:00+00:00,44021.5,44395.75,42524.5,43236.25,4.0,2.0982,-1.0,0.1412,-1.1412,SL
2564,2568,short,trend,2021-10-02 08:00:00+00:00,47804.5,47987.25,47073.5,47413.0,4.0,2.1423,-1.0,0.3139,-1.3139,SL
2612,2613,long,trend,2021-10-04 08:00:00+00:00,47793.0,47521.5,48879.0,48290.31,4.0,1.8317,-1.0,0.2112,-1.2112,SL
2828,2835,long,sweep,2021-10-13 08:00:00+00:00,54656.5,54135.0,56696.0,56197.5,3.9108,2.9549,3.6719,0.1258,3.5461,TP1+TP
2948,2948,long,trend,2021-10-18 08:00:00+00:00,62102.75,61769.62,63435.25,63768.38,4.0,5.0,-1.0,0.2237,-1.2237,SL
3068,3068,long,trend,2021-10-23 08:00:00+00:00,60997.5,60718.75,62112.5,61496.25,4.0,1.7892,-1.0,0.2626,-1.2626,SL
3188,3188,short,trend,2021-10-28 08:00:00+00:00,58690.5,58963.75,57597.5,58199.5,4.0,1.7969,-1.0,0.2577,-1.2577,SL
3212,3218,short,trend,2021-10-29 08:00:00+00:00,61130.0,61639.5,59092.0,60158.5,4.0,1.9068,-1.0,0.144,-1.144,SL
3237,3238,short,trend,2021-10-30 08:00:00+00:00,61718.25,62052.38,60381.75,60394.5,4.0,3.9618,-1.0,0.2217,-1.2217,SL
3284,3284,short,trend,2021-11-01 08:00:00+00:00,60947.0,61698.5,57941.0,58795.75,4.0,2.8626,-1.0,0.0973,-1.0973,SL
3332,3332,long,trend,2021-11-03 08:00:00+00:00,63201.0,63001.5,63999.0,63775.17,4.0,2.878,-1.0,0.3802,-1.3802,SL
3356,3356,long,trend,2021-11-04 08:00:00+00:00,62485.25,62167.88,63754.75,63019.25,4.0,1.6826,-1.0,0.2363,-1.2363,SL
3380,3382,long,trend,2021-11-05 08:00:00+00:00,61770.75,61334.38,63516.25,62607.0,4.0,1.9164,-1.0,0.1699,-1.1699,SL
3452,3452,short,trend,2021-11-08 08:00:00+00:00,64849.0,65641.75,61678.0,62550.0,4.0,2.9,-1.0,0.0982,-1.0982,SL
3476,3476,short,trend,2021-11-09 08:00:00+00:00,67875.0,68237.5,66425.0,62550.0,4.0,14.6897,-1.0,0.2247,-1.2247,SL
3548,3548,long,trend,2021-11-12 08:00:00+00:00,64770.0,64422.5,66160.0,65529.5,4.0,2.1856,-1.0,0.2237,-1.2237,SL
3572,3572,long,trend,2021-11-13 08:00:00+00:00,63997.25,63773.62,64891.75,64537.75,4.0,2.417,-1.0,0.3434,-1.3434,SL
3668,3669,short,trend,2021-11-17 08:00:00+00:00,59499.25,59973.12,57603.75,58525.75,4.0,2.0543,-1.0,0.1507,-1.1507,SL
3716,3716,short,trend,2021-11-19 08:00:00+00:00,56614.25,57088.62,54716.75,54325.5,4.0,4.8248,-1.0,0.1432,-1.1432,SL
3740,3741,short,trend,2021-11-20 08:00:00+00:00,58485.75,58726.88,57521.25,57520.0,4.0,4.0052,-1.0,0.2911,-1.2911,SL
3766,3771,short,trend,2021-11-21 08:00:00+00:00,59188.5,59483.25,58009.5,58525.75,4.0,2.2485,-1.0,0.241,-1.241,SL
3836,3847,short,trend,2021-11-24 08:00:00+00:00,56928.5,57330.25,55321.5,55639.75,4.0,3.2078,-1.0,0.17,-1.17,SL
3860,3861,short,trend,2021-11-25 08:00:00+00:00,57685.75,58007.88,56397.25,56741.0,4.0,2.9329,-1.0,0.2149,-1.2149,SL
3919,3925,long,trend,2021-11-27 08:00:00+00:00,54167.25,53925.88,55132.75,54649.0,4.0,1.9959,-1.0,0.2693,-1.2693,SL
3932,3933,short,trend,2021-11-28 08:00:00+00:00,54291.5,54559.75,53218.5,53633.58,4.0,2.4526,-1.0,0.2429,-1.2429,SL
3964,3964,short,trend,2021-11-29 08:00:00+00:00,57711.5,57980.75,56634.5,57275.75,4.0,1.6184,-1.0,0.2572,-1.2572,SL
3981,3982,short,trend,2021-11-30 08:00:00+00:00,56940.0,57460.0,54860.0,55918.0,4.0,1.9654,-1.0,0.1314,-1.1314,SL
4029,4030,long,trend,2021-12-02 08:00:00+00:00,56595.25,56197.62,58185.75,57841.25,4.0,3.1336,-1.0,0.1708,-1.1708,SL
4052,4052,short,trend,2021-12-03 08:00:00+00:00,56595.75,56831.12,55654.25,56107.33,4.0,2.0751,-1.0,0.2885,-1.2885,SL
4076,4136,short,trend,2021-12-04 08:00:00+00:00,47339.5,50594.75,34318.5,42345.0,4.0,1.5343,-1.0,0.0175,-1.0175,SL
4436,4440,short,trend,2021-12-19 08:00:00+00:00,47278.75,47707.62,45563.25,46564.25,4.0,1.666,-1.0,0.1323,-1.1323,SL
4470,4471,short,trend,2021-12-20 08:00:00+00:00,46650.75,46916.38,45588.25,46114.25,4.0,2.0198,-1.0,0.2108,-1.2108,SL
4484,4487,short,sweep,2021-12-21 08:00:00+00:00,48557.5,49100.0,46658.5,47621.4,3.5005,1.7255,-1.0,0.1074,-1.1074,SL
4532,4532,long,trend,2021-12-23 08:00:00+00:00,48390.25,48210.12,49110.75,48799.88,4.0,2.2741,-1.0,0.3224,-1.3224,SL
4556,4558,long,trend,2021-12-24 08:00:00+00:00,51101.0,50874.0,52009.0,51500.67,4.0,1.7606,-1.0,0.2701,-1.2701,SL
4580,4581,long,trend,2021-12-25 08:00:00+00:00,50848.5,50738.25,51289.5,51488.0,4.0,5.8005,-1.0,0.5535,-1.5535,SL
4604,4604,long,trend,2021-12-26 08:00:00+00:00,50138.5,49869.0,51216.5,51190.75,4.0,3.9045,-1.0,0.2233,-1.2233,SL
4628,4628,long,trend,2021-12-27 08:00:00+00:00,50777.25,50620.88,51402.75,51190.75,4.0,2.6443,-1.0,0.3897,-1.3897,SL
4652,4653,long,trend,2021-12-28 08:00:00+00:00,49553.5,48976.75,51860.5,50521.0,4.0,1.6775,-1.0,0.1031,-1.1031,SL
4676,4676,long,trend,2021-12-29 08:00:00+00:00,47802.0,47634.5,48472.0,48109.12,4.0,1.8336,-1.0,0.3425,-1.3425,SL
4748,4749,short,trend,2022-01-01 08:00:00+00:00,46876.25,47214.12,45524.75,46351.58,4.0,1.5528,-1.0,0.1665,-1.1665,SL
4772,4772,short,trend,2022-01-02 08:00:00+00:00,47255.5,47487.5,46327.5,46865.25,4.0,1.6821,-1.0,0.2444,-1.2444,SL
4796,4797,short,trend,2022-01-03 08:00:00+00:00,47007.75,47156.62,46412.25,46731.83,4.0,1.8533,-1.0,0.3789,-1.3789,SL
4873,4879,short,trend,2022-01-06 08:00:00+00:00,43202.5,43498.75,42017.5,42675.75,4.0,1.7781,-1.0,0.175,-1.175,SL
4892,4896,short,sweep,2022-01-07 08:00:00+00:00,42071.0,42617.12,40952.5,41128.83,2.0481,1.7252,-1.0,0.0924,-1.0924,SL
4916,4916,short,trend,2022-01-08 08:00:00+00:00,41898.25,42070.12,41210.75,41128.83,4.0,4.4766,-1.0,0.2925,-1.2925,SL
4942,4942,short,trend,2022-01-09 08:00:00+00:00,41778.0,41957.0,41062.0,41128.83,4.0,3.6266,-1.0,0.2801,-1.2801,SL
5012,5012,short,trend,2022-01-12 08:00:00+00:00,42649.25,42793.88,42070.75,42350.0,4.0,2.0691,-1.0,0.3539,-1.3539,SL
5036,5036,short,trend,2022-01-13 08:00:00+00:00,43721.0,43867.5,43135.0,43236.25,4.0,3.3089,-1.0,0.3581,-1.3581,SL
5133,5135,long,trend,2022-01-17 08:00:00+00:00,42719.0,42507.0,43567.0,43202.67,4.0,2.2814,-1.0,0.2418,-1.2418,SL
5156,5156,long,trend,2022-01-18 08:00:00+00:00,42117.25,41978.12,42673.75,42435.67,4.0,2.2887,-1.0,0.3633,-1.3633,SL
5180,5180,long,trend,2022-01-19 08:00:00+00:00,41812.25,41476.12,43156.75,42435.67,4.0,1.8547,-1.0,0.1493,-1.1493,SL
5204,5204,short,trend,2022-01-20 08:00:00+00:00,41876.75,42000.88,41380.25,41572.62,4.0,2.4502,-1.0,0.4049,-1.4049,SL
5324,5324,short,trend,2022-01-25 08:00:00+00:00,36176.25,36413.88,35225.75,35371.25,4.0,3.3877,-1.0,0.1827,-1.1827,SL
5396,5396,long,sweep,2022-01-28 08:00:00+00:00,36650.0,36427.38,37497.5,37525.0,3.8069,3.9304,-1.0,0.1976,-1.1976,SL
5420,5420,long,trend,2022-01-29 08:00:00+00:00,37700.0,37568.75,38225.0,37985.0,4.0,2.1714,-1.0,0.3447,-1.3447,SL
5444,5444,long,trend,2022-01-30 08:00:00+00:00,38044.0,37887.0,38672.0,38753.5,4.0,4.5191,-1.0,0.2908,-1.2908,SL
5540,5540,long,trend,2022-02-03 08:00:00+00:00,36837.25,36735.88,37242.75,37515.83,4.0,6.6938,-1.0,0.4361,-1.4361,SL
5712,5712,long,trend,2022-02-10 08:00:00+00:00,43937.5,43731.75,44760.5,44394.67,4.0,2.222,-1.0,0.2563,-1.2563,SL
5732,5732,long,trend,2022-02-11 08:00:00+00:00,43175.5,42872.75,44386.5,43762.75,4.0,1.9397,-1.0,0.1711,-1.1711,SL
5757,5758,long,trend,2022-02-12 08:00:00+00:00,42115.75,41931.88,42851.25,42435.67,4.0,1.7399,-1.0,0.2749,-1.2749,SL
5780,5785,long,trend,2022-02-13 08:00:00+00:00,42264.25,42162.62,42670.75,42436.0,4.0,1.69,-1.0,0.4991,-1.4991,SL
5804,5805,short,sweep,2022-02-14 08:00:00+00:00,42045.0,42243.38,41566.5,41739.5,2.4121,1.54,-1.0,0.2543,-1.2543,SL
5828,5828,short,trend,2022-02-15 08:00:00+00:00,43080.5,43435.5,41660.5,42472.0,4.0,1.7141,-1.0,0.1456,-1.1456,SL
5852,5862,short,trend,2022-02-16 08:00:00+00:00,44096.75,44316.12,43219.25,43535.25,4.0,2.5595,-1.0,0.2412,-1.2412,SL
5996,5996,short,trend,2022-02-22 08:00:00+00:00,36889.5,37178.0,35735.5,36401.25,4.0,1.6924,-1.0,0.1534,-1.1534,SL
6020,6020,short,trend,2022-02-23 08:00:00+00:00,37932.0,38134.5,37122.0,37593.88,4.0,1.6698,-1.0,0.2248,-1.2248,SL
6049,6053,short,trend,2022-02-24 08:00:00+00:00,35816.5,36603.5,32668.5,34442.5,4.0,1.7459,-1.0,0.0546,-1.0546,SL
6068,6069,short,trend,2022-02-25 08:00:00+00:00,38568.75,38784.38,37706.25,38212.75,4.0,1.651,-1.0,0.2146,-1.2146,SL
6212,6212,long,trend,2022-03-03 08:00:00+00:00,43460.5,43180.0,44582.5,43922.0,4.0,1.6453,-1.0,0.1859,-1.1859,SL
6236,6241,long,sweep,2022-03-04 08:00:00+00:00,41573.0,41210.38,42505.5,42142.5,2.5715,1.5705,-1.0,0.1376,-1.1376,SL
6261,6267,long,trend,2022-03-05 08:00:00+00:00,38854.75,38703.38,39460.25,39245.0,4.0,2.578,3.6445,0.308,3.3365,TP1+TP
6284,6284,long,trend,2022-03-06 08:00:00+00:00,39264.0,39022.0,40232.0,39632.83,4.0,1.5241,-1.0,0.1947,-1.1947,SL
6356,6356,short,trend,2022-03-09 08:00:00+00:00,40268.0,41073.0,37048.0,38799.0,4.0,1.8248,-1.0,0.06,-1.06,SL
6433,6433,long,trend,2022-03-12 08:00:00+00:00,38957.25,38794.38,39608.75,39239.75,4.0,1.7345,-1.0,0.287,-1.287,SL
6505,6507,short,trend,2022-03-15 08:00:00+00:00,38949.75,39374.62,37250.25,38199.25,4.0,1.7664,-1.0,0.11,-1.11,SL
6524,6533,long,trend,2022-03-16 08:00:00+00:00,40243.5,39496.75,43230.5,41705.0,4.0,1.9571,-1.0,0.0647,-1.0647,SL
6548,6548,long,trend,2022-03-17 08:00:00+00:00,40986.75,40756.88,41906.25,41705.0,4.0,3.1245,-1.0,0.214,-1.214,SL
6572,6573,long,trend,2022-03-18 08:00:00+00:00,40555.5,40384.75,41238.5,40899.0,4.0,2.0117,-1.0,0.285,-1.285,SL
6596,6597,long,trend,2022-03-19 08:00:00+00:00,41727.25,41593.62,42261.75,41986.5,4.0,1.9401,-1.0,0.3747,-1.3747,SL
6620,6620,long,trend,2022-03-20 08:00:00+00:00,42000.0,41875.0,42500.0,42279.75,4.0,2.238,-1.0,0.4032,-1.4032,SL
6647,6661,long,trend,2022-03-21 08:00:00+00:00,40953.25,40713.38,41912.75,41319.75,4.0,1.5279,3.382,0.2049,3.1771,TP1+TP
6692,6694,long,trend,2022-03-23 08:00:00+00:00,42098.0,41897.75,42899.0,42428.2,4.0,1.6489,-1.0,0.2523,-1.2523,SL
6716,6716,long,trend,2022-03-24 08:00:00+00:00,43060.5,42840.75,43939.5,43453.3,4.0,1.7875,-1.0,0.2351,-1.2351,SL
6740,6742,long,sweep,2022-03-25 08:00:00+00:00,43985.0,43848.0,44388.0,44220.83,2.9416,1.7214,2.6366,0.3853,2.2513,TP1+TP
6767,6768,long,trend,2022-03-26 08:00:00+00:00,44277.5,44163.75,44732.5,44519.0,4.0,2.1231,-1.0,0.4671,-1.4671,SL
6788,6788,long,trend,2022-03-27 08:00:00+00:00,44683.0,44566.0,45151.0,44908.5,4.0,1.9274,-1.0,0.4583,-1.4583,SL
6812,6826,long,trend,2022-03-28 08:00:00+00:00,47212.75,46919.12,48387.25,47788.0,4.0,1.9591,-1.0,0.193,-1.193,SL
6842,6843,long,trend,2022-03-29 08:00:00+00:00,47381.25,47211.88,48058.75,47788.0,4.0,2.4015,-1.0,0.3357,-1.3357,SL
6864,6889,long,trend,2022-03-30 08:00:00+00:00,47035.5,46768.25,48104.5,47597.1,4.0,2.1014,-1.0,0.2112,-1.2112,SL
6911,6914,long,trend,2022-04-01 08:00:00+00:00,44920.5,44561.25,46357.5,45509.0,4.0,1.6381,3.4095,0.15,3.2595,TP1+TP
6956,6956,short,trend,2022-04-03 08:00:00+00:00,46040.5,46310.25,44961.5,45498.93,4.0,2.0077,-1.0,0.2048,-1.2048,SL
7004,7005,long,trend,2022-04-05 08:00:00+00:00,46639.75,46526.38,47093.25,46904.62,4.0,2.3363,-1.0,0.4937,-1.4937,SL
7052,7052,short,trend,2022-04-07 08:00:00+00:00,43126.75,43338.38,42280.25,42800.33,4.0,1.5424,-1.0,0.2445,-1.2445,SL
7076,7078,short,sweep,2022-04-08 08:00:00+00:00,43692.5,43816.25,43300.0,43417.75,3.1717,2.2202,2.9338,0.4237,2.5102,TP1+TP
7100,7102,short,trend,2022-04-09 08:00:00+00:00,42367.0,42490.5,41873.0,42058.0,4.0,2.502,-1.0,0.4117,-1.4117,SL
7127,7127,short,trend,2022-04-10 08:00:00+00:00,42724.0,42801.0,42416.0,42539.0,4.0,2.4026,-1.0,0.6658,-1.6658,SL
7148,7150,short,trend,2022-04-11 08:00:00+00:00,41990.0,42195.0,41170.0,41581.0,4.0,1.9951,3.4988,0.2458,3.253,TP1+TP
7172,7174,short,sweep,2022-04-12 08:00:00+00:00,40150.5,40387.0,39216.0,39538.5,3.9514,2.5877,-1.0,0.2037,-1.2037,SL
7196,7196,short,trend,2022-04-13 08:00:00+00:00,39909.75,40074.62,39250.25,39538.5,4.0,2.2517,-1.0,0.2905,-1.2905,SL
7224,7224,short,trend,2022-04-14 08:00:00+00:00,41259.5,41361.25,40852.5,41097.94,4.0,1.5878,3.0,0.4866,2.5134,TP1+BE
7244,7245,short,trend,2022-04-15 08:00:00+00:00,40095.75,40270.62,39396.25,39549.5,4.0,3.1237,-1.0,0.2751,-1.2751,SL
7342,7344,short,trend,2022-04-19 08:00:00+00:00,40916.5,41108.25,40149.5,40552.5,4.0,1.8983,-1.0,0.2561,-1.2561,SL
7364,7364,short,trend,2022-04-20 08:00:00+00:00,41404.5,41502.25,41013.5,41097.94,4.0,3.1362,-1.0,0.5083,-1.5083,SL
7412,7412,long,trend,2022-04-22 08:00:00+00:00,40476.0,40330.5,41058.0,40882.33,4.0,2.7927,-1.0,0.3338,-1.3338,SL
7436,7450,long,trend,2022-04-23 08:00:00+00:00,39547.75,39404.38,40121.25,39910.7,4.0,2.5315,-1.0,0.331,-1.331,SL
7486,7488,short,trend,2022-04-25 08:00:00+00:00,38779.0,39132.5,37365.0,38199.25,4.0,1.64,-1.0,0.1316,-1.1316,SL
7511,7512,short,trend,2022-04-26 08:00:00+00:00,40584.75,40693.88,40148.25,40242.83,4.0,3.1333,3.7833,0.4463,3.337,TP1+TP
7605,7609,short,trend,2022-04-30 08:00:00+00:00,38620.0,38695.0,38320.0,38500.5,4.0,1.5933,3.3983,0.6179,2.7804,TP1+TP
7628,7628,short,trend,2022-05-01 08:00:00+00:00,37752.0,37952.5,36950.0,37422.5,4.0,1.6434,-1.0,0.2259,-1.2259,SL
7652,7652,short,trend,2022-05-02 08:00:00+00:00,38744.25,38942.12,37952.75,38369.25,4.0,1.8951,-1.0,0.235,-1.235,SL
7676,7678,short,sweep,2022-05-03 08:00:00+00:00,38530.0,38604.0,38320.0,38369.25,2.8378,2.1723,2.1284,0.6248,1.5036,TP1+BE
7700,7700,short,trend,2022-05-04 08:00:00+00:00,38199.0,38468.25,37122.0,37679.9,4.0,1.9279,-1.0,0.1702,-1.1702,SL
7748,7749,long,trend,2022-05-06 08:00:00+00:00,36233.0,36016.5,37099.0,36617.33,4.0,1.7752,-1.0,0.2008,-1.2008,SL
7776,7783,long,trend,2022-05-07 08:00:00+00:00,35876.0,35793.75,36205.0,36160.33,4.0,3.4569,-1.0,0.5234,-1.5234,SL
7940,7945,short,trend,2022-05-14 08:00:00+00:00,29494.25,29641.38,28905.75,28758.62,4.0,5.0,4.25,0.2406,4.0094,TP1+TP
7965,7966,short,trend,2022-05-15 08:00:00+00:00,29829.5,30039.75,28988.5,29496.0,4.0,1.5862,-1.0,0.1703,-1.1703,SL
8017,8017,long,trend,2022-05-17 08:00:00+00:00,30157.25,29958.38,30952.75,31027.0,4.0,4.3734,-1.0,0.182,-1.182,SL
8084,8090,short,trend,2022-05-20 08:00:00+00:00,30303.75,30535.38,29377.25,29496.0,4.0,3.4873,3.8718,0.157,3.7148,TP1+TP
8108,8109,short,trend,2022-05-21 08:00:00+00:00,29230.25,29385.12,28610.75,28711.5,4.0,3.3495,-1.0,0.2265,-1.2265,SL
8235,8235,short,trend,2022-05-26 08:00:00+00:00,29679.0,29778.5,29281.0,29490.67,4.0,1.8928,-1.0,0.3579,-1.3579,SL
8252,8255,short,trend,2022-05-27 08:00:00+00:00,28996.25,29188.62,28226.75,28629.83,4.0,1.9047,-1.0,0.1809,-1.1809,SL
8276,8276,short,trend,2022-05-28 08:00:00+00:00,28726.0,28828.0,28318.0,27975.0,4.0,7.3627,-1.0,0.338,-1.338,SL
8400,8400,long,trend,2022-06-02 08:00:00+00:00,29829.0,29693.5,30371.0,30232.0,4.0,2.9742,-1.0,0.2642,-1.2642,SL
8420,8420,long,trend,2022-06-03 08:00:00+00:00,30479.0,30369.5,30917.0,30686.0,4.0,1.8904,-1.0,0.334,-1.334,SL
8471,8473,short,trend,2022-06-05 08:00:00+00:00,29757.5,29819.0,29511.5,29481.2,4.0,4.4927,-1.0,0.5806,-1.5806,SL
8492,8492,short,trend,2022-06-06 08:00:00+00:00,30658.0,31051.5,29084.0,29686.25,4.0,2.4695,-1.0,0.0935,-1.0935,SL
8525,8526,short,trend,2022-06-07 08:00:00+00:00,30245.0,30807.75,27994.0,29257.42,4.0,1.7549,-1.0,0.0645,-1.0645,SL
8564,8564,short,trend,2022-06-09 08:00:00+00:00,30264.5,30375.0,29822.5,30072.25,4.0,1.7398,-1.0,0.3287,-1.3287,SL
8588,8591,short,trend,2022-06-10 08:00:00+00:00,29935.75,30155.88,29055.25,29487.29,4.0,2.0373,-1.0,0.1632,-1.1632,SL
8641,8642,short,trend,2022-06-12 08:00:00+00:00,27846.5,28189.25,26475.5,26132.75,4.0,5.0,-1.0,0.0975,-1.0975,SL
8684,8690,short,trend,2022-06-14 08:00:00+00:00,22134.25,22792.12,19502.75,18844.88,4.0,5.0,-1.0,0.0404,-1.0404,SL
8711,8717,short,trend,2022-06-15 08:00:00+00:00,21427.75,21854.88,19719.25,19292.12,4.0,5.0,-1.0,0.0602,-1.0602,SL
8756,8777,short,sweep,2022-06-17 08:00:00+00:00,21058.0,21330.75,20230.0,20209.0,3.0357,3.1127,3.055,0.0926,2.9623,TP1+TP
8828,8828,short,trend,2022-06-20 08:00:00+00:00,20141.25,20399.88,19106.75,18848.12,4.0,5.0,-1.0,0.0935,-1.0935,SL
8852,8852,short,trend,2022-06-21 08:00:00+00:00,20836.0,21086.0,19836.0,20209.0,4.0,2.508,-1.0,0.1,-1.1,SL
8876,8877,short,trend,2022-06-22 08:00:00+00:00,20327.5,20527.25,19528.5,19328.75,4.0,5.0,-1.0,0.1221,-1.1221,SL
8900,8900,short,trend,2022-06-23 08:00:00+00:00,20254.0,20450.25,19469.0,19272.75,4.0,5.0,-1.0,0.1238,-1.1238,SL
9026,9026,long,trend,2022-06-28 08:00:00+00:00,20693.25,20580.38,21144.75,21363.5,4.0,5.938,-1.0,0.22,-1.22,SL
9044,9044,long,trend,2022-06-29 08:00:00+00:00,20142.0,20021.25,20625.0,20802.0,4.0,5.4658,-1.0,0.2002,-1.2002,SL
9068,9068,long,trend,2022-06-30 08:00:00+00:00,19724.25,19508.12,20588.75,20802.0,4.0,4.9867,-1.0,0.1095,-1.1095,SL
