entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
278,287,long,2022-06-28 08:00:00+00:00,21105.0,20447.03,22420.93,-1.0,0.0385,-1.0385,SL
918,944,short,2022-07-25 00:00:00+00:00,22320.5,23012.99,20935.52,2.0,0.0387,1.9613,TP
1230,1246,short,2022-08-07 00:00:00+00:00,22885.5,23280.76,22094.99,-1.0,0.0695,-1.0695,SL
1320,1518,long,2022-08-10 18:00:00+00:00,23597.5,22729.25,25334.0,-1.0,0.0326,-1.0326,SL
2252,2263,short,2022-09-18 14:00:00+00:00,19803.0,20085.06,19238.87,2.0,0.0842,1.9158,TP
2470,2641,short,2022-09-27 16:00:00+00:00,19106.0,20403.88,16510.23,-1.0,0.0177,-1.0177,SL
2774,2847,short,2022-10-10 08:00:00+00:00,19229.5,19489.97,18708.56,2.0,0.0886,1.9114,TP
2946,2994,long,2022-10-17 12:00:00+00:00,19506.0,19071.91,20374.18,-1.0,0.0539,-1.0539,SL
3667,3794,short,2022-11-16 13:00:00+00:00,16495.0,17022.0,15440.99,2.0,0.0376,1.9624,TP
5491,5520,long,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
5540,5626,long,2023-02-02 14:00:00+00:00,23612.0,22732.24,25371.51,-1.0,0.0322,-1.0322,SL
5804,5827,short,2023-02-13 14:00:00+00:00,21662.3,22011.99,20962.92,-1.0,0.0743,-1.0743,SL
6035,6040,long,2023-02-23 05:00:00+00:00,24401.9,23763.01,25679.67,-1.0,0.0458,-1.0458,SL
6785,6811,long,2023-03-26 11:00:00+00:00,27848.0,27297.58,28948.85,-1.0,0.0607,-1.0607,SL
6887,7149,short,2023-03-30 17:00:00+00:00,27829.9,29017.89,25453.92,-1.0,0.0281,-1.0281,SL
7296,7301,long,2023-04-16 18:00:00+00:00,30495.9,30083.89,31319.93,-1.0,0.0888,-1.0888,SL
7676,7719,long,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,2.0,0.0732,1.9268,TP
7915,7964,short,2023-05-12 13:00:00+00:00,26441.5,27105.98,25112.54,-1.0,0.0478,-1.0478,SL
8067,8303,short,2023-05-18 21:00:00+00:00,26903.3,27496.07,25717.76,-1.0,0.0545,-1.0545,SL
8449,8466,short,2023-06-03 19:00:00+00:00,27084.9,27274.15,26706.41,-1.0,0.1717,-1.1717,SL
8532,8615,long,2023-06-07 06:00:00+00:00,26820.7,25343.63,29774.84,-1.0,0.0218,-1.0218,SL
8934,9090,long,2023-06-24 00:00:00+00:00,30472.5,29755.51,31906.47,-1.0,0.051,-1.051,SL
9160,9235,long,2023-07-03 10:00:00+00:00,30634.6,30108.26,31687.28,-1.0,0.0698,-1.0698,SL
9401,9404,short,2023-07-13 11:00:00+00:00,30525.0,30993.16,29588.68,-1.0,0.0782,-1.0782,SL
9750,9860,short,2023-07-28 00:00:00+00:00,29259.2,29569.54,28638.52,2.0,0.1131,1.8869,TP
9886,10025,short,2023-08-02 16:00:00+00:00,29014.1,29434.1,28174.09,-1.0,0.0829,-1.0829,SL
11402,11441,long,2023-10-04 20:00:00+00:00,27636.0,27283.69,28340.62,-1.0,0.0941,-1.0941,SL
12085,12109,long,2023-11-02 07:00:00+00:00,35305.4,34262.8,37390.59,-1.0,0.0406,-1.0406,SL
12953,13015,long,2023-12-08 11:00:00+00:00,43708.0,42962.0,45200.01,-1.0,0.0703,-1.0703,SL
13430,13461,short,2023-12-28 08:00:00+00:00,42970.2,43457.01,41996.57,2.0,0.1059,1.8941,TP
13751,13797,long,2024-01-10 17:00:00+00:00,46426.0,44256.7,50764.6,-1.0,0.0257,-1.0257,SL
14023,14031,short,2024-01-22 01:00:00+00:00,41375.5,41840.4,40445.7,2.0,0.1068,1.8932,TP
14090,14126,short,2024-01-24 20:00:00+00:00,39538.0,40413.17,37787.65,-1.0,0.0542,-1.0542,SL
15465,15482,short,2024-03-22 03:00:00+00:00,66011.0,67812.74,62407.51,2.0,0.044,1.956,TP
15937,15982,long,2024-04-10 19:00:00+00:00,70113.4,67978.65,74382.89,-1.0,0.0394,-1.0394,SL
16374,16386,short,2024-04-29 00:00:00+00:00,63232.1,63969.81,61756.69,2.0,0.1029,1.8971,TP
16554,16775,short,2024-05-06 12:00:00+00:00,63577.1,65329.06,60073.17,-1.0,0.0435,-1.0435,SL
17370,17406,long,2024-06-09 12:00:00+00:00,69711.8,69100.83,70933.74,-1.0,0.1369,-1.1369,SL
17636,17719,short,2024-06-20 14:00:00+00:00,64940.0,66041.78,62736.45,2.0,0.0707,1.9293,TP
18791,18799,short,2024-08-07 17:00:00+00:00,55545.7,57418.56,51799.98,-1.0,0.0356,-1.0356,SL
18905,18984,long,2024-08-12 11:00:00+00:00,59812.4,57497.44,64442.31,-1.0,0.031,-1.031,SL
19134,19178,long,2024-08-22 00:00:00+00:00,60796.6,58746.19,64897.41,2.0,0.0356,1.9644,TP
19331,19337,short,2024-08-30 05:00:00+00:00,58756.7,59879.82,56510.46,-1.0,0.0628,-1.0628,SL
19435,19446,short,2024-09-03 13:00:00+00:00,58371.0,59169.21,56774.58,2.0,0.0878,1.9122,TP
19690,19750,long,2024-09-14 04:00:00+00:00,60184.3,57521.42,65510.06,-1.0,0.0271,-1.0271,SL
19877,19886,long,2024-09-21 23:00:00+00:00,63311.5,62650.09,64634.33,-1.0,0.1149,-1.1149,SL
19994,20092,long,2024-09-26 20:00:00+00:00,64620.3,62837.1,68186.7,-1.0,0.0435,-1.0435,SL
21756,21770,short,2024-12-09 06:00:00+00:00,99087.2,101397.4,94466.81,2.0,0.0515,1.9485,TP
