entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
230,333,long,2021-06-27 02:00:00+00:00,33071.0,31027.44,37158.12,0.5,0.0194,0.4806,TP1+BE
650,672,long,2021-07-14 14:00:00+00:00,32833.0,31562.41,35374.19,-1.0,0.031,-1.031,SL
1155,1175,long,2021-08-04 15:00:00+00:00,39269.0,37338.12,43130.75,-1.0,0.0244,-1.0244,SL
1461,1471,long,2021-08-17 09:00:00+00:00,46849.0,45204.75,50137.5,-1.0,0.0342,-1.0342,SL
1662,1672,long,2021-08-25 18:00:00+00:00,48901.0,47457.0,51789.01,-1.0,0.0406,-1.0406,SL
1743,1827,short,2021-08-29 03:00:00+00:00,48262.5,49429.38,45928.74,0.5,0.0496,0.4504,TP1+BE
2953,2977,long,2021-10-18 13:00:00+00:00,61852.5,60390.55,64776.4,0.5,0.0508,0.4492,TP1+BE
3262,3282,short,2021-10-31 10:00:00+00:00,60880.5,62342.28,57956.94,-1.0,0.05,-1.05,SL
3977,3983,short,2021-11-30 05:00:00+00:00,56334.0,57842.28,53317.43,-1.0,0.0448,-1.0448,SL
4783,4824,short,2022-01-02 19:00:00+00:00,46906.5,48048.0,44623.5,0.5,0.0493,0.4507,TP1+BE
5169,5178,long,2022-01-18 21:00:00+00:00,42357.0,41258.7,44553.6,-1.0,0.0463,-1.0463,SL
5857,5882,short,2022-02-16 13:00:00+00:00,43637.5,44580.04,41752.43,1.5,0.0556,1.4444,TP1+TP
8888,8900,short,2022-06-22 20:00:00+00:00,19866.0,20692.67,18212.66,-1.0,0.0288,-1.0288,SL
9976,9988,short,2022-08-07 04:00:00+00:00,22937.0,23280.76,22249.49,-1.0,0.0801,-1.0801,SL
10994,11005,short,2022-09-18 14:00:00+00:00,19803.0,20085.06,19238.87,1.5,0.0842,1.4158,TP1+TP
11212,11383,short,2022-09-27 16:00:00+00:00,19106.0,20403.88,16510.23,-1.0,0.0177,-1.0177,SL
12409,12519,short,2022-11-16 13:00:00+00:00,16495.0,17022.0,15440.99,0.5,0.0376,0.4624,TP1+BE
14233,14262,long,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
14777,14782,long,2023-02-23 05:00:00+00:00,24401.9,23763.01,25679.67,-1.0,0.0458,-1.0458,SL
15527,15553,long,2023-03-26 11:00:00+00:00,27848.0,27297.58,28948.85,-1.0,0.0607,-1.0607,SL
15629,15891,short,2023-03-30 17:00:00+00:00,27829.9,29017.89,25453.92,-1.0,0.0281,-1.0281,SL
16038,16043,long,2023-04-16 18:00:00+00:00,30495.9,30083.89,31319.93,-1.0,0.0888,-1.0888,SL
16418,16429,long,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,0.5,0.0732,0.4268,TP1+BE
16870,16896,short,2023-05-21 10:00:00+00:00,26941.4,27195.17,26433.86,0.5,0.1274,0.3726,TP1+BE
17274,17357,long,2023-06-07 06:00:00+00:00,26820.7,25343.63,29774.84,-1.0,0.0218,-1.0218,SL
17902,17934,long,2023-07-03 10:00:00+00:00,30634.6,30108.26,31687.28,0.5,0.0698,0.4302,TP1+BE
17970,17972,long,2023-07-06 06:00:00+00:00,30675.8,30284.49,31458.43,1.5,0.0941,1.4059,TP1+TP
18143,18146,short,2023-07-13 11:00:00+00:00,30525.0,30993.16,29588.68,-1.0,0.0782,-1.0782,SL
18492,18602,short,2023-07-28 00:00:00+00:00,29259.2,29569.54,28638.52,1.5,0.1131,1.3869,TP1+TP
20144,20162,long,2023-10-04 20:00:00+00:00,27636.0,27283.69,28340.62,0.5,0.0941,0.4059,TP1+BE
