entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
16315,16348,2026-04-26 05:00:00+00:00,77945.0,77186.04,79462.93,-1.0,0.1232,-1.1232,SL
2365,2374,2024-09-21 23:00:00+00:00,63311.5,62650.09,64634.33,-1.0,0.1149,-1.1149,SL
11519,11547,2025-10-08 09:00:00+00:00,122500.0,121036.44,125427.12,-1.0,0.1004,-1.1004,SL
16685,16708,2026-05-11 15:00:00+00:00,81403.8,80329.59,83552.22,-1.0,0.0909,-1.0909,SL
11859,11866,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
8877,8883,2025-06-20 07:00:00+00:00,105769.9,104310.29,108689.13,-1.0,0.087,-1.087,SL
12328,12331,2025-11-11 02:00:00+00:00,106596.9,105025.27,109740.16,-1.0,0.0814,-1.0814,SL
4679,4684,2024-12-27 09:00:00+00:00,96732.9,94959.65,100279.41,-1.0,0.0655,-1.0655,SL
2482,2580,2024-09-26 20:00:00+00:00,64620.3,62837.1,68186.7,-1.0,0.0435,-1.0435,SL
1393,1472,2024-08-12 11:00:00+00:00,59812.4,57497.44,64442.31,-1.0,0.031,-1.031,SL
2178,2238,2024-09-14 04:00:00+00:00,60184.3,57521.42,65510.06,-1.0,0.0271,-1.0271,SL
6312,6418,2025-03-05 10:00:00+00:00,89882.7,81941.28,105765.55,-1.0,0.0136,-1.0136,SL
